emg_0,emg_1,emg_2,emg_3,emg_4,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
544,385,234,564,948,0.08642578125,0.0859375,-1.1468505859375,-9.778625954198473,-16.580152671755727,12.854961832061068
542,392,231,572,1119,0.091552734375,0.089111328125,-1.1470947265625,-13.083969465648854,-23.740458015267176,12.65648854961832
539,398,229,580,1288,0.0849609375,0.08935546875,-1.1556396484375,-14.931297709923664,-26.572519083969464,11.221374045801527
537,404,226,588,1453,0.0859375,0.08740234375,-1.1544189453125,-15.374045801526718,-24.954198473282442,10.19083969465649
535,409,224,595,1613,0.0859375,0.085205078125,-1.1492919921875,-15.122137404580153,-21.53435114503817,9.030534351145038
533,415,222,603,1770,0.079345703125,0.086669921875,-1.1512451171875,-14.877862595419847,-16.69465648854962,5.083969465648855
531,419,220,610,1921,0.07861328125,0.082763671875,-1.1512451171875,-14.229007633587786,-9.557251908396946,2.2900763358778624
530,424,218,616,2069,0.074951171875,0.08740234375,-1.1534423828125,-13.587786259541986,-1.6793893129770991,2.2213740458015265
528,429,216,620,2213,0.082763671875,0.083251953125,-1.1512451171875,-15.51908396946565,10.320610687022901,3.198473282442748
526,432,214,622,2355,0.087158203125,0.085205078125,-1.1617431640625,-24.862595419847327,11.374045801526718,3.7404580152671754
525,437,211,626,2493,0.08642578125,0.08447265625,-1.1563720703125,-29.129770992366414,-2.2442748091603053,3.3435114503816794
524,442,210,629,2631,0.083251953125,0.083984375,-1.1505126953125,-19.702290076335878,-12.320610687022901,3.5267175572519083
522,446,208,634,2764,0.0888671875,0.082275390625,-1.1531982421875,-1.9923664122137406,-13.16030534351145,3.6106870229007635
521,451,206,637,2895,0.083251953125,0.08642578125,-1.1522216796875,1.9770992366412214,-5.030534351145038,3.6030534351145036
520,455,204,639,3020,0.08740234375,0.0859375,-1.1568603515625,-0.1297709923664122,-1.8931297709923665,3.183206106870229
517,461,202,644,3145,0.0869140625,0.0859375,-1.1500244140625,-1.083969465648855,-3.1755725190839694,0.42748091603053434
515,467,200,648,3266,0.084716796875,0.0859375,-1.1573486328125,-0.8778625954198473,-4.015267175572519,-0.4122137404580153
513,474,198,653,3387,0.08349609375,0.089111328125,-1.1495361328125,-0.6564885496183206,-4.030534351145038,0.37404580152671757
511,480,196,658,3504,0.079345703125,0.0927734375,-1.1607666015625,-0.7175572519083969,-3.816793893129771,0.7786259541984732
508,488,194,664,3611,0.080322265625,0.0849609375,-1.1566162109375,-0.8091603053435115,-3.8091603053435112,0.7022900763358778
507,495,192,667,3718,0.078125,0.085693359375,-1.1536865234375,-0.9236641221374046,-3.7099236641221376,0.2595419847328244
504,502,190,669,3809,0.08642578125,0.091064453125,-1.1531982421875,-0.6564885496183206,-3.8091603053435112,0.20610687022900764
503,508,189,670,3811,0.09130859375,0.086669921875,-1.1578369140625,-0.7404580152671756,-3.8931297709923665,0.2900763358778626
502,514,188,670,3811,0.08349609375,0.085693359375,-1.1492919921875,-0.7862595419847328,-4.0,0.22900763358778625
502,518,185,668,3812,0.08544921875,0.083251953125,-1.1441650390625,-0.7786259541984732,-4.137404580152672,0.15267175572519084
501,523,185,668,3812,0.08056640625,0.07666015625,-1.1483154296875,-0.732824427480916,-4.015267175572519,0.22900763358778625
500,527,183,669,3812,0.08349609375,0.08251953125,-1.1497802734375,-0.6946564885496184,-3.8396946564885495,0.3893129770992366
499,532,181,670,3812,0.083251953125,0.088134765625,-1.1544189453125,-0.6946564885496184,-3.7404580152671754,0.19083969465648856
500,535,179,671,3812,0.085205078125,0.089599609375,-1.1546630859375,-0.8625954198473282,-3.7022900763358777,0.20610687022900764
498,538,178,671,3812,0.083251953125,0.087646484375,-1.1510009765625,-0.9694656488549618,-3.8702290076335877,0.35877862595419846
497,541,176,672,3812,0.0849609375,0.083251953125,-1.1536865234375,-0.8473282442748091,-3.9923664122137406,0.26717557251908397
495,544,175,675,3812,0.089111328125,0.0869140625,-1.1546630859375,-0.7022900763358778,-4.015267175572519,0.11450381679389313
